Interpretation,value
atrial_enlargement,心房扩大
atrial_fibrillation,心房颤动
first_degree_atrioventricular_block,一级房室传导阻滞
has_p,有p
hyperkalemia,高钾血症
left_axis_deviation,左心轴偏差
left_ventricular_enlargement,左心室扩大
low_voltage_qrs,低qrs
need_echo,需要超声波
need_holtering,需要holtering
no_p,没有p
noise_no_p,没有噪音
premature_atrial_complex,心房早搏
premature_ventricular_complex,心室早搏
right_atrial_enlargement,右心房增大
right_axis_deviation,右心轴偏差
second_degree_atrioventricular_block_type_i,二级房室传导阻滞
second_degree_atrioventricular_block_type_ii,二级房室传导阻滞
sinus_arrhythmia,窦性心律不齐
sinus_bradycardia,窦性心搏过缓
sinus_rhythm,窦性心律
sinus_yachycardia,窦性心搏过速
third_degree_atrioventricular_block,三度房室传导阻滞
vagal_tone,"
迷走神经亢奋"
ventricular_enlargement,心室扩大
ventricular_hypertrophy,心室肥大
ventricular_tachycardia,心室心搏过速
supraventricular_tachycardia,室上性心搏过速
